ID,COUNTRY_NAME,ISO_CODE,BIOME_NAME,BIOME_NUM,AREA_HA,ages_1_20_mean,ages_21_40_mean,ages_41_60_mean,ages_61_80_mean,ages_81_100_mean,ages_1_20_stdDev,ages_21_40_stdDev,ages_41_60_stdDev,ages_61_80_stdDev,ages_81_100_stdDev,ages_1_20_median,ages_21_40_median,ages_41_60_median,ages_61_80_median,ages_81_100_median,ages_1_20_min,ages_21_40_min,ages_41_60_min,ages_61_80_min,ages_81_100_min,ages_1_20_max,ages_21_40_max,ages_41_60_max,ages_61_80_max,ages_81_100_max,ages_1_20_p10,ages_21_40_p10,ages_41_60_p10,ages_61_80_p10,ages_81_100_p10,ages_1_20_p25,ages_21_40_p25,ages_41_60_p25,ages_61_80_p25,ages_81_100_p25,ages_1_20_p75,ages_21_40_p75,ages_41_60_p75,ages_61_80_p75,ages_81_100_p75,ages_1_20_p90,ages_21_40_p90,ages_41_60_p90,ages_61_80_p90,ages_81_100_p90
GAB_1,Gabon,266,Mangroves,14,514304.88901404315,1.595044958791753,1.727373721268956,1.573265743422999,1.3061509672635847,1.0267079514383626,0.08138022434944765,0.0914697357181507,0.06921514261216506,0.05253399239500773,0.05185709065584275,1.6141791226433926,1.7363828609860132,1.573210017180737,1.307640233039856,1.0243986936715932,1.3475371599197388,1.4391562938690186,1.307591199874878,1.082602858543396,0.8418819308280945,1.7703571319580078,1.9380261898040771,1.7572530508041382,1.487067461013794,1.2453632354736328,1.4699231147766114,1.5960455377896627,1.4894318679968517,1.241070313844158,0.9599644853955224,1.5459949049082669,1.6854046069342514,1.5363183935483298,1.2704181425155154,0.9913133960503798,1.6513433478496693,1.7948847148153515,1.6240632110171849,1.3407213427126408,1.0635377394741978,1.6865657528241476,1.8381919444553436,1.6632021276318296,1.3699102878570557,1.0945997745432752
GAB_2,Gabon,266,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7,4549691.314272501,1.1872171570860397,1.1916774624236468,1.0874821886362496,0.9366356621896724,0.7772325081185785,0.1123822169550356,0.11890105036036414,0.102829061752096,0.0851778633307017,0.0746818705709444,1.1855043391282645,1.193372504195062,1.091834703323778,0.9355057204702372,0.7793232722471712,0.813430666923523,0.821015477180481,0.7831592559814453,0.6759856939315796,0.538177490234375,1.5161480903625488,1.565946102142334,1.425641417503357,1.298071265220642,1.1360180377960205,1.0292637045319015,1.0372311704688602,0.9668395459502562,0.8301085545136048,0.6776828374932794,1.1112542321796317,1.1074671779954155,1.0136198831400436,0.884722525076371,0.7324417277888806,1.2715596832194418,1.267619047401468,1.14642717293204,0.9902297233662954,0.826189035774635,1.341825892435056,1.357339078831561,1.220742348183033,1.0409409606496896,0.8651165442656626
GBR_0,United Kingdom,826,Temperate Broadleaf & Mixed Forests,4,21912006.776904937,1.3028549274490395,1.3643410500963185,1.0816932856651968,0.7634937725768316,0.5105890934967264,0.22334554057283387,0.35947847002640887,0.28211247761892483,0.19437525480704243,0.1399123837809782,1.2851375638853428,1.3046754005832717,1.0273290159842692,0.7227069815036794,0.4863363151296468,0.7929473519325256,0.7879179120063782,0.6841310262680054,0.3730787336826325,0.16950587928295135,2.237550973892212,3.107884645462036,2.3057591915130615,1.5650405883789062,1.0689303874969482,1.0430180645685854,1.0076940398867922,0.8085804447921894,0.5664095766033543,0.3535465943584993,1.1679953237208365,1.1484980448040851,0.9023571631893956,0.6132543075143598,0.40039225020500385,1.3945603348908313,1.445158070210352,1.144432877553837,0.8475815903903149,0.6034902500460642,1.5585624374520337,1.6637420677743835,1.402286379956282,1.0351026912095602,0.70903528554847
GBR_1,United Kingdom,826,Temperate Conifer Forests,5,2171469.573083871,1.5167400063606018,1.8967758779546644,1.4735489299732991,0.9674810780885074,0.5932665737695032,0.30576947177223346,0.5891172554845595,0.4196580341361387,0.22852439386726653,0.1234072027072746,1.5821662415941078,2.1493325747415692,1.644648118864132,1.0275238091058103,0.6114391186769973,0.8948929905891418,0.8775390386581421,0.7707520723342896,0.44751396775245667,0.21359023451805115,2.1606175899505615,3.059882879257202,2.262038469314575,1.5213172435760498,1.0155071020126345,1.1131818925180743,1.1643236533923609,0.9570021970135172,0.6524600823720296,0.4121750912597875,1.2148725492064305,1.2732114590685677,1.0117565946919578,0.7382782595828898,0.5058644143017855,1.7929787251467262,2.445183769937908,1.863309607063372,1.168020254657382,0.6854902221625593,1.8948410745833937,2.570248474884757,1.9414023192230443,1.230293225375089,0.7363425835486381
GEO_0,Georgia,268,Deserts & Xeric Shrublands,13,362796.50390799006,0.5196559950107296,0.6146555681918304,0.5395459009703141,0.4162189804892691,0.301467692124092,0.12287214390810916,0.16601171399782336,0.12711686547314652,0.07605621575245042,0.04073749806464338,0.5604057675600052,0.6778199741805809,0.5838587249026579,0.428711618648635,0.29786827382834064,0.2362404763698578,0.25777140259742737,0.25986337661743164,0.24623647332191467,0.2162897139787674,0.7834022045135498,0.9307936429977416,0.7976099848747253,0.6701065897941589,0.5319110751152039,0.33008623925539166,0.3611652198827492,0.34170119140459143,0.3018400566652417,0.25096862841008316,0.4003965819352551,0.44741556415191064,0.4157453451086493,0.35045373151379244,0.27060106102573245,0.6308984925801103,0.7635325065948678,0.6465866851437952,0.47561812822797656,0.3271630212573186,0.6542476246811751,0.7909198347354095,0.6698855528154889,0.5010223116193498,0.3525839422220065
GEO_1,Georgia,268,Temperate Broadleaf & Mixed Forests,4,4819654.359887057,0.8933162426968517,1.0780807761246538,0.9256508440501872,0.6890702282121844,0.4785479517517003,0.23442105450977943,0.2599911766705351,0.23102713699830632,0.1909234441782857,0.15326428193280192,0.8319186306871053,1.1016340792050183,0.9257860209842672,0.6758062687189275,0.4492118226140278,0.2718580365180969,0.2956516742706299,0.2891833782196045,0.2629169523715973,0.17945699393749237,1.6282777786254885,2.4048359394073486,2.1570043563842773,1.6252044439315796,1.220547080039978,0.6288705711871122,0.7738729294052415,0.660184215110711,0.4805199854306619,0.3165097861407521,0.7147791455984116,0.88288204822047,0.769420508874382,0.5586836963327739,0.3711202281161344,1.0976614145874288,1.242378961088927,1.0429660452317588,0.777271841643743,0.5507799984038282,1.214616779409367,1.3357754423645616,1.1365877848405104,0.8789330610664942,0.6523348977840361
GEO_2,Georgia,268,Temperate Conifer Forests,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GEO_3,Georgia,268,"Temperate Grasslands, Savannas & Shrublands",8,351349.196543824,0.6498738840643449,0.8704548707714924,0.7371872942499651,0.5252204590571292,0.3460606484253919,0.07072435612826918,0.10822806776037017,0.07042990827445966,0.04980288380517998,0.05051538066895744,0.6375992949475947,0.8690502969842208,0.7372023649513721,0.5204985180032362,0.33893832168747895,0.44309118390083313,0.5224560499191284,0.4886576533317566,0.3790838122367859,0.21421918272972107,0.8511240482330322,1.158880591392517,0.9608618021011353,0.8163325190544128,0.6849342584609985,0.5750865979892451,0.7365642452941221,0.6454746360364167,0.4697514003828952,0.29009247303009034,0.6045336014515644,0.7948035947860234,0.6904287024124248,0.4912877513035651,0.31157360010057966,0.6904859713145665,0.9472367022095656,0.7861368610308721,0.5536802934275733,0.3740537306841682,0.7588758718582892,1.0177860761943616,0.827063715771625,0.5868738770484925,0.41313398331403733
GGY_0,Guernsey (UK),831,Temperate Broadleaf & Mixed Forests,4,5531.3378062500005,1.2650312872493967,1.2711091097663432,1.0551367619458367,0.7964355454725378,0.5704902960973628,0.07068386855651126,0.06846752348408701,0.04429261746173887,0.04457789967830961,0.05111554438966403,1.2690791487693789,1.2859927415847778,1.058717966079712,0.7876937985420227,0.5715466439723969,1.1118743419647217,1.1195008754730225,0.9398902654647828,0.7167177200317383,0.49038124084472656,1.398576736450195,1.37341046333313,1.1514097452163696,0.9221805334091188,0.7073972821235657,1.1555390357971191,1.1462473471959431,0.9853626489639282,0.7443968057632446,0.5092734098434448,1.2261991500854492,1.2392439246177671,1.036125421524048,0.7645643353462219,0.526087760925293,1.3230998118718464,1.325077772140503,1.0764857133229573,0.8194858729839325,0.6036718487739563,1.3527686595916748,1.3423467874526978,1.1162093877792358,0.8580585718154907,0.6314816474914551
GHA_0,Ghana,288,Tropical & Subtropical Moist Broadleaf Forests,1,7522245.197529397,1.0573224771539074,1.0706980984586252,0.9664925150137372,0.819901913780593,0.6712232901194358,0.2135772040928626,0.19276582667863132,0.13819620074344952,0.11053997522906996,0.11588814360760492,0.9959634083842096,1.017615138876195,0.9511654096784774,0.8378764914419361,0.677754131965262,0.7298735976219177,0.7364042401313782,0.6473315358161926,0.5193645358085632,0.3767148852348328,1.757967233657837,1.6920053958892822,1.4233617782592771,1.1792755126953125,1.115989327430725,0.847682928645217,0.8730096027853331,0.7910162339217713,0.650485921620673,0.5019223963060687,0.8944926919095656,0.919919459296645,0.8534954744918628,0.7363129175882157,0.5839947265066556,1.1602059274848335,1.166017712287183,1.0605316117475632,0.9042551432715522,0.7519797341487042,1.3946128618983795,1.3808111352079055,1.1856882383396898,0.951224325078257,0.8105517227749724
