system:index,A,B,K,.geo
44,183.77223205566406,0.4093870520591736,0.013958970084786415,"{""type"":""Point"",""coordinates"":[12.904755927947267,2.899843903323317]}"
45,192.60000610351562,0.4710453748703003,0.016778666526079178,"{""type"":""Point"",""coordinates"":[11.62302870587908,5.70838404039033]}"
46,226.81393432617188,0.5129299163818359,0.015253753401339054,"{""type"":""Point"",""coordinates"":[10.378813398807482,-0.5587592477752653]}"
47,167.39999389648438,0.4498516023159027,0.018565913662314415,"{""type"":""Point"",""coordinates"":[18.01204242870957,2.4870087752012378]}"
48,174.81298828125,0.43685469031333923,0.016567612066864967,"{""type"":""Point"",""coordinates"":[21.562052161400953,-2.402041956017602]}"
49,122.4000015258789,0.40309521555900574,0.01475328579545021,"{""type"":""Point"",""coordinates"":[12.683923632459235,-5.303114271109587]}"
50,177.3000030517578,0.4501500129699707,0.01618288643658161,"{""type"":""Point"",""coordinates"":[23.57407613257541,3.7691084462919164]}"
51,208.84747314453125,0.5486565232276917,0.022656099870800972,"{""type"":""Point"",""coordinates"":[9.371310695876454,5.6919781449998]}"
52,149.6392364501953,0.41002294421195984,0.019382769241929054,"{""type"":""Point"",""coordinates"":[26.17951764174839,-2.5386648063929416]}"
53,256.5,0.49650681018829346,0.009999999776482582,"{""type"":""Point"",""coordinates"":[14.08260228555368,4.122159906992985]}"
54,179.4702911376953,0.4215373694896698,0.016362112015485764,"{""type"":""Point"",""coordinates"":[12.191373326365131,2.375447742620839]}"
55,161.96861267089844,0.4584480822086334,0.02056872844696045,"{""type"":""Point"",""coordinates"":[19.6013920602714,2.313422783855605]}"
56,184.00962829589844,0.48500770330429077,0.018776850774884224,"{""type"":""Point"",""coordinates"":[26.835017066045534,-2.4610919764638775]}"
57,207.89999389648438,0.5186243653297424,0.020556429401040077,"{""type"":""Point"",""coordinates"":[8.711252153427477,5.739718533102749]}"
58,156.60000610351562,0.42788979411125183,0.019910601899027824,"{""type"":""Point"",""coordinates"":[24.06886028313258,0.503424028717366]}"
59,182.6999969482422,0.43611133098602295,0.013201862573623657,"{""type"":""Point"",""coordinates"":[16.763020085648275,1.6779847543560653]}"
60,173.6999969482422,0.42992153763771057,0.01237202063202858,"{""type"":""Point"",""coordinates"":[22.256498290107945,-5.17476381892271]}"
61,169.702392578125,0.47090819478034973,0.019649330526590347,"{""type"":""Point"",""coordinates"":[19.872737024082806,2.2110544486412644]}"
62,164.96859741210938,0.44286420941352844,0.01703130453824997,"{""type"":""Point"",""coordinates"":[19.955343128624513,-0.546065568906209]}"
63,181.8000030517578,0.46852225065231323,0.018959837034344673,"{""type"":""Point"",""coordinates"":[27.677327796074355,2.450424154575065]}"
64,179.10000610351562,0.4467030465602875,0.01633364148437977,"{""type"":""Point"",""coordinates"":[18.50946499220811,2.5315256850307706]}"
65,185.39999389648438,0.44382181763648987,0.014653327874839306,"{""type"":""Point"",""coordinates"":[16.454281545187,3.1102137704553505]}"
66,171.90704345703125,0.46601584553718567,0.018497083336114883,"{""type"":""Point"",""coordinates"":[19.530475114851658,2.9240783028413335]}"
67,246.37742614746094,0.510880708694458,0.012909273616969585,"{""type"":""Point"",""coordinates"":[10.302039485772479,-1.2806753940128033]}"
68,184.5,0.44723623991012573,0.015850890427827835,"{""type"":""Point"",""coordinates"":[22.225845110312292,3.0325376053110067]}"
69,164.6999969482422,0.43330854177474976,0.017906365916132927,"{""type"":""Point"",""coordinates"":[23.08799609442407,-0.26689650324257636]}"
70,175.5,0.44678205251693726,0.017229385673999786,"{""type"":""Point"",""coordinates"":[21.788020770319505,3.2565184303437937]}"
71,154.53042602539062,0.4195263385772705,0.017770130187273026,"{""type"":""Point"",""coordinates"":[25.448955765239447,-1.9295188377504418]}"
72,198.89999389648438,0.4359750747680664,0.010656415484845638,"{""type"":""Point"",""coordinates"":[17.910472495831762,3.563944361019587]}"
73,185.02291870117188,0.4185149073600769,0.01610887609422207,"{""type"":""Point"",""coordinates"":[11.42262641716934,3.2068827099865556]}"
74,171.521484375,0.41160547733306885,0.009999999776482582,"{""type"":""Point"",""coordinates"":[17.228600014523472,-3.0443608444566506]}"
