system:index,biome_id,eco_id,max_age,max_rate,mean_age,mean_rate,median_age,median_rate,min_age,min_rate,p5_age,p5_rate,p95_age,p95_rate,sdtDev_age,stdDev_rate,.geo
261,4.0,343,51,1.0631084442138672,33.48757175179118,0.6705935296162425,34.0,0.6621099833069378,11,0.3674478530883789,24.0,0.5488467842305855,41.0,0.8066310109318914,5.00928899357771,0.08174523085449256,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,4.0,344,46,1.118326187133789,23.50945162706973,0.6192429131599014,24.0,0.6308542792098,1,0.17199373245239258,12.0,0.33402594769527266,33.0,0.8690917267540346,6.856103957870326,0.16198190462438347,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,5.0,345,46,1.357940673828125,37.04512954417982,1.0978275032559295,37.0,1.1386760521460981,28,0.6976156234741211,33.0,0.8692295833786517,41.0,1.2676077256369036,2.2098208884544372,0.1277035500630309,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,5.0,346,100,0.6199798583984375,63.00431060110589,0.18208224211107205,65.0,0.15583602813053204,1,0.031998634338378906,29.0,0.048159408575509384,95.0,0.41185014530763786,19.188826233813504,0.11619299423364701,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,5.0,347,32,1.223923683166504,21.12140985184789,0.8517623523814783,23.0,0.8457355622322329,6,0.5221462249755859,11.0,0.6152591929716222,28.0,1.1115322608452338,5.295202738350691,0.15394800357646227,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,5.0,348,100,1.0235795974731445,44.053952158086325,0.35008503957826465,42.0,0.35290938162664226,1,0.07199811935424805,21.0,0.09996715152120016,71.0,0.6971081409728128,15.676923483842991,0.19597118572406866,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,5.0,349,51,3.8347320556640625,33.830454129838465,1.8630993235877868,33.0,1.7577836497425459,24,0.6572208404541016,29.0,0.9766910187602723,40.0,3.085874956939857,3.4256648742018396,0.6852773377860095,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,5.0,350,42,1.9026260375976562,33.35843879657236,1.0731984415068836,33.0,1.0664145251329722,24,0.4638242721557617,30.0,0.8007440625025988,37.0,1.3710270530647701,2.024125242996258,0.17262349375326086,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,5.0,351,58,4.271831512451172,32.009371745921555,3.1440859392756018,32.0,3.1641283787869643,25,1.3339252471923828,28.0,2.4298595100320797,37.0,3.7574357639892906,2.831857921217674,0.4177833092534188,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,5.0,352,100,3.4642982482910156,51.839594631070106,1.763808903113683,48.0,1.820139247121535,14,0.12599992752075195,33.0,0.6333846914357153,81.0,2.8202795548872515,15.322245039273389,0.6822437825058699,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,5.0,353,100,0.8515300750732422,48.870302487020645,0.36901107490106283,48.0,0.392437057586475,1,0.039945125579833984,25.0,0.10380639835845593,78.0,0.599643752339122,16.63933907728803,0.1502307739293551,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,5.0,354,100,2.2911224365234375,61.49748883540394,0.5550868992223092,67.0,0.5537651535308007,1,0.07599782943725586,19.0,0.11759975365345668,91.0,1.1948303996392016,23.35278324700231,0.3440611408088313,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,5.0,355,44,1.8408889770507812,34.86318621289193,0.9412678821924653,35.0,0.9492031214074639,24,0.435577392578125,31.0,0.6367645728205178,39.0,1.261718742309078,2.430579735588767,0.18902081108136404,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,5.0,356,100,0.6719436645507812,51.85624891361029,0.2448396879591031,54.0,0.22011799928618642,1,0.06799721717834473,27.0,0.1040188028842588,73.0,0.4513954406088971,13.916465779426373,0.11259630149216827,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,5.0,357,100,3.0709896087646484,48.25664307443969,1.4034036950128974,47.0,1.3982678959262222,15,0.2146296501159668,30.0,0.6495508515104955,71.0,2.1481233519823557,12.830571717670535,0.4548973293995414,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,5.0,358,99,3.4630699157714844,38.52967682084098,1.5731207687117785,37.0,1.476511085510254,16,0.1479964256286621,29.0,0.4931649129415296,59.0,2.8990303372579906,8.629610425910343,0.7738950507472635,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,5.0,359,79,3.049224853515625,39.017285062777994,1.8021243871664465,39.0,1.8202435636403227,22,0.45086002349853516,28.0,0.992565495627267,52.0,2.617827268747183,8.044810363836207,0.4491441804247763,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,5.0,360,46,3.5055904388427734,29.680427302412134,2.0007500831659186,30.0,2.1015091827852066,15,0.3099632263183594,23.0,0.6948249023277443,33.0,2.882799104838112,2.8949551627726597,0.6845157756847339,"{""type"":""MultiPoint"",""coordinates"":[]}"
