system:index,A,B,K,.geo
36,215.9486083984375,0.6334346532821655,0.024473514407873154,"{""type"":""Point"",""coordinates"":[116.98327496827058,6.58632254601209]}"
37,198.86509704589844,0.592136800289154,0.02407819777727127,"{""type"":""Point"",""coordinates"":[112.09867104913857,-2.260281031435341]}"
38,199.56625366210938,0.5953004360198975,0.022916823625564575,"{""type"":""Point"",""coordinates"":[116.59513141623539,6.579974726669404]}"
39,192.60000610351562,0.595051109790802,0.025903381407260895,"{""type"":""Point"",""coordinates"":[112.2105490675025,-0.22152503072706176]}"
40,204.4192657470703,0.5855798125267029,0.023797370493412018,"{""type"":""Point"",""coordinates"":[112.62723451297204,-2.763359666806951]}"
41,196.093994140625,0.6039904952049255,0.025807827711105347,"{""type"":""Point"",""coordinates"":[111.43128076372321,0.8772709121926626]}"
42,213.74118041992188,0.5571867823600769,0.017300888895988464,"{""type"":""Point"",""coordinates"":[116.94094648030935,-0.663430442324322]}"
43,202.33578491210938,0.6263555288314819,0.02617686241865158,"{""type"":""Point"",""coordinates"":[117.16482332801452,3.428260412759093]}"
44,204.3000030517578,0.5701009035110474,0.02128414995968342,"{""type"":""Point"",""coordinates"":[116.75230570680193,3.880518665293919]}"
45,207.89999389648438,0.6094494462013245,0.024957913905382156,"{""type"":""Point"",""coordinates"":[110.164583713166,-2.3338356963168714]}"
46,221.48764038085938,0.5806017518043518,0.020845266059041023,"{""type"":""Point"",""coordinates"":[114.59889145816565,-1.9679669754852231]}"
47,193.66143798828125,0.567254900932312,0.02572532929480076,"{""type"":""Point"",""coordinates"":[114.60977503356175,-0.19431495975538804]}"
48,190.70640563964844,0.6063507795333862,0.028534172102808952,"{""type"":""Point"",""coordinates"":[115.9967382451632,2.372249013840845]}"
49,222.63099670410156,0.6206057667732239,0.02316622994840145,"{""type"":""Point"",""coordinates"":[116.07667492767308,-3.154679760093253]}"
50,200.6671600341797,0.6119586825370789,0.02619515359401703,"{""type"":""Point"",""coordinates"":[110.32343974322818,0.09960267190812086]}"
51,197.10000610351562,0.48897498846054077,0.012521442957222462,"{""type"":""Point"",""coordinates"":[118.20490847684114,1.3962233427465938]}"
52,199.39991760253906,0.5926523208618164,0.024913443252444267,"{""type"":""Point"",""coordinates"":[112.54850459239884,-2.3832988529246433]}"
53,200.6999969482422,0.4992605149745941,0.01375851035118103,"{""type"":""Point"",""coordinates"":[117.51295965013901,1.1586166371136954]}"
54,194.39999389648438,0.5664693713188171,0.023787563666701317,"{""type"":""Point"",""coordinates"":[111.58428588285318,-1.3067299209002166]}"
55,185.39999389648438,0.569013774394989,0.026099247857928276,"{""type"":""Point"",""coordinates"":[114.58164720379149,0.22857335887256722]}"
56,199.75485229492188,0.5987828969955444,0.025082219392061234,"{""type"":""Point"",""coordinates"":[110.85018383022566,-2.290451221843561]}"
57,200.59347534179688,0.5928612947463989,0.02291201986372471,"{""type"":""Point"",""coordinates"":[118.4455497556181,5.542800517851247]}"
58,192.00253295898438,0.5944125652313232,0.025998324155807495,"{""type"":""Point"",""coordinates"":[115.8708952895681,4.244565366475452]}"
59,207.89999389648438,0.5647550225257874,0.021601535379886627,"{""type"":""Point"",""coordinates"":[112.21486857601347,-1.10259212247178]}"
60,196.2432098388672,0.6235835552215576,0.02728048898279667,"{""type"":""Point"",""coordinates"":[111.41253748378016,1.3433425114732946]}"
61,213.3000030517578,0.5612574219703674,0.021126646548509598,"{""type"":""Point"",""coordinates"":[114.17618638755675,-0.11381945387846175]}"
62,189.18553161621094,0.5666173696517944,0.02667268179357052,"{""type"":""Point"",""coordinates"":[114.02550495870116,2.424513671125179]}"
63,204.3000030517578,0.5730860829353333,0.021737225353717804,"{""type"":""Point"",""coordinates"":[117.05610823898182,1.9928621137258848]}"
64,183.63722229003906,0.5816941261291504,0.027709148824214935,"{""type"":""Point"",""coordinates"":[115.70521279628329,1.2776091680033703]}"
65,221.37332153320312,0.6028501391410828,0.02244505099952221,"{""type"":""Point"",""coordinates"":[115.967321812978,-0.312709798108877]}"
66,192.55841064453125,0.6016546487808228,0.02617885358631611,"{""type"":""Point"",""coordinates"":[111.49263974400746,0.7153885187904169]}"
67,199.8358917236328,0.6015769839286804,0.024683892726898193,"{""type"":""Point"",""coordinates"":[111.50240827244255,-1.9350781084429345]}"
68,205.1999969482422,0.5974245667457581,0.02449244260787964,"{""type"":""Point"",""coordinates"":[115.14861151706711,-0.18050341083549648]}"
