system:index,A,B,K,.geo
37,188.10000610351562,0.5432035326957703,0.022759757936000824,"{""type"":""Point"",""coordinates"":[-72.50814892518672,-1.1176330859439891]}"
38,194.39999389648438,0.536038339138031,0.022611364722251892,"{""type"":""Point"",""coordinates"":[-75.74654342584793,-1.9617712890017778]}"
39,183.03025817871094,0.49031496047973633,0.021876102313399315,"{""type"":""Point"",""coordinates"":[-68.58333397143517,-8.02300291218385]}"
40,178.7737274169922,0.49826154112815857,0.018239911645650864,"{""type"":""Point"",""coordinates"":[-74.72183741749507,-6.874803437748298]}"
41,189.71217346191406,0.5419602990150452,0.022892147302627563,"{""type"":""Point"",""coordinates"":[-67.35275324849194,-4.492924280707006]}"
42,184.8189697265625,0.5090194344520569,0.022943789139389992,"{""type"":""Point"",""coordinates"":[-51.78817026809201,-8.654622928831225]}"
43,194.88177490234375,0.5460305213928223,0.020315127447247505,"{""type"":""Point"",""coordinates"":[-78.21673328177992,-4.7244302992751654]}"
44,198.4883270263672,0.5792017579078674,0.024967148900032043,"{""type"":""Point"",""coordinates"":[-70.04715871491796,2.7581329934084855]}"
45,186.3000030517578,0.5118124485015869,0.018579965457320213,"{""type"":""Point"",""coordinates"":[-58.93708809507561,6.860540824528253]}"
46,197.20977783203125,0.5378768444061279,0.022695276886224747,"{""type"":""Point"",""coordinates"":[-54.564897476786705,1.893409279318828]}"
47,180.0,0.5558889508247375,0.02505563013255596,"{""type"":""Point"",""coordinates"":[-68.37734479460134,1.050717672608624]}"
48,187.1999969482422,0.5309889912605286,0.023112647235393524,"{""type"":""Point"",""coordinates"":[-50.27511338170191,-4.363930639904647]}"
49,148.47274780273438,0.470840185880661,0.021791238337755203,"{""type"":""Point"",""coordinates"":[-57.07866766555504,-13.668931347569178]}"
50,193.4984893798828,0.5052843689918518,0.018920250236988068,"{""type"":""Point"",""coordinates"":[-71.2699068134078,-11.366434939144604]}"
