system:index,agc,age,biome,ecoregion,rate,stdev_agc,stdev_age,stdev_rate,.geo
150,53.80667184597014,22.884566809800454,1.0,218,1.8814814551426444,2.9190141790865134,1.5058128718925106,0.0860272702543352,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,58.87230056033674,23.600471902441555,1.0,219,2.091340437259268,2.6208995509037054,2.2301253337173588,0.2860997673277492,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,56.455566609302565,21.275243291489115,1.0,220,2.1852144062361187,1.9861596538619712,1.8123367411824074,0.22742858975006058,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,60.42311991506369,24.19796422895487,1.0,221,2.2116197662467068,2.658724558392063,1.6794099831622833,0.20335168849013993,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,47.69241677888702,22.940125595495886,1.0,222,1.620035858936979,5.183469887427291,3.489721128756925,0.17693092948864458,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,49.077048597437496,19.62759047905091,1.0,223,1.4984746727969915,4.940324713644024,4.130391815418786,0.29319417737381154,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,40.81301483803935,33.80248148463438,1.0000212820294543,224,0.7978621013643306,5.046134603656967,4.552087172338513,0.15366854363825164,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,42.71494184601701,29.06761031797534,1.0,225,0.9665976785592334,5.706574135035657,8.457696282108303,0.32376471520032324,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,51.99800462962354,22.162953430386874,1.0,226,1.7314138757392783,4.026410902995556,2.525186509274583,0.21168492107719747,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,35.20225813202045,13.732718894009217,1.0,227,1.2945305784726473,1.573533483897885,0.9068627239003595,0.07868015516162935,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,36.21914713454321,27.339089396873867,1.0,228,0.9985093779965465,3.1534310807992467,5.442180337169169,0.1335715830524264,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,57.87023788065736,22.252650176678443,1.0,229,1.8377046613675878,6.518528739098464,3.651818019562734,0.1602285417704985,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,48.423599963776454,20.160827586206896,1.0,230,1.5554552422592922,6.574359236640141,3.7330749226465123,0.2684944022165679,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,53.816112614246535,22.205623700861143,1.0,231,1.7593693215740438,5.758335958114316,2.5305622693306815,0.24074855191943,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,44.59786602933597,20.769431131485725,1.0,232,1.2506409290557754,4.531031355599415,3.7265988039546474,0.15435425079394588,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,45.63084042151368,30.13236287087421,1.0,233,1.2584143467322948,5.27591252874806,4.81382748174013,0.30499322471227924,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,51.55435876841657,21.903488309011014,1.0,234,1.692561914326733,2.967113671183568,1.7008947306235624,0.054544451487018,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,41.748533078104074,28.871695448863374,1.0,235,1.0062699962630361,9.402584315291175,7.458281211298679,0.39482011272211964,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,41.69620377939287,31.941606998398285,1.0,236,1.2349107403108848,5.821574062709248,4.200246694658544,0.20332604115703629,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,49.03285860158696,30.990872688327546,1.0,237,1.0952382600185566,5.470626570586048,10.193084010339739,0.2874576274525258,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,43.392024873171486,27.42956671997647,1.0,238,1.2600928649476222,5.541716610843891,7.838881905660619,0.3457711769671252,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,47.13243615197127,27.26572191787024,1.0,239,1.2736468498199582,4.324972537294851,8.147613069285248,0.3214316839816614,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,59.65606330533704,22.800514037168842,1.0,240,2.1033862198044915,5.664425496467148,2.624583367622171,0.22764491894019767,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,53.72743319724191,22.1123335992945,1.0,241,1.854936985766698,8.26916629270477,3.2610757448674406,0.30750462540704226,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,51.5598490663625,22.076299950219486,1.0,242,1.8573251673013973,5.886199864460164,2.1381638173864275,0.3222307114994207,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,45.7972777649882,19.04019073569482,1.0,243,1.7044112130146911,3.202131655369905,2.0564297162335694,0.15923381091528346,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,50.84805167283808,23.186154730343535,1.0,244,1.6692664226109841,6.497567689778248,3.4239704728309466,0.3012454293374952,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,59.220791215675355,23.37120306146855,1.0,245,2.3355418722813734,1.4746082129548326,0.615290937543454,0.06283387769439693,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,54.83462855012832,20.705879601478085,1.0,246,2.008799608722082,2.914085380682825,1.5845603976412381,0.36009425075158674,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,55.62259456481184,22.90685063472086,1.0,247,1.9058361806445563,5.705194914805424,2.6473137909386595,0.438455631723877,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,54.96273871906473,21.646679407548973,1.0,248,1.877943053065563,5.8214142120160215,2.744593684961352,0.08041599006697603,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,52.382694736145,22.714150910627655,1.0,249,1.7138835907667016,4.172606707162266,2.769830962948802,0.18560375417993233,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,54.563048458793695,22.630794446357946,1.0,250,1.8168728246679442,4.399162996511295,2.244565543008328,0.12577573787173665,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,53.110106570261095,26.51206732295967,1.0,251,1.9577589104689654,4.274907899936011,1.852568687143411,0.23089919162119737,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,64.19517526830175,26.41984093763081,1.0,252,2.316714288800169,2.3551122137090226,0.9899083208011639,0.0623929264475472,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,42.146331961505524,22.64358469425865,1.0,253,1.4239624288172543,7.592661301001755,3.330935130287626,0.43610097773543854,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,48.49159154775208,20.122806547539316,1.0,254,1.8444307541730343,4.880321069850996,1.9550623997840169,0.2578622391566392,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,50.93917484276836,22.52152512998267,1.0,255,1.7129407248339992,4.182765428944907,2.184101470575619,0.1862947707860932,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,47.466658404801564,26.042487611947085,1.0,256,1.3454829046841876,4.835963201222216,5.406162933010854,0.16654159203117233,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,46.20120095642415,23.40814742967992,1.0,257,1.4760093663064862,4.208842744382862,5.10183687270009,0.3673135905023417,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,44.50997669676021,32.55719080317877,1.0,258,0.9934164113205953,4.401225542753516,10.275660777180816,0.24313745457235733,"{""type"":""MultiPoint"",""coordinates"":[]}"
